response_id,response
1,Your strength is greater than any struggle
2,You are fearless
3,You're getting stronger everyday
4,You are in awe of what your body is capable of
5,You can do this
6,I'm here for you
7,You're not here to give up
8,You are who you want to be
9,No one can make you feel inferior
10,You have discovered you are fierce
11,You know your worth
12,You inspire others
13,"You don't fear the fire, you are the fire"
14,You choose what you become
15,You have decided you are good enough
16,You are brave enough to climb any mountain
17,You wink at a challenge
18,You are beautiful and smart. I would want to be you
19,You are a leader
20,You are worthy of genuine love
21,You are worthy of respect
22,You are blessed with talents that you love
23,You deserve your dreams
24,Unconditional love flows to you
25,You greet each day with strength
26,You deserve to feel strong
27,Self doubt? Not your thing
28,You've got this
29,Do you want to talk about it?
30,Sounds good
31,Alright
32,I'm here to listen
33,I'm sure you'll face every challenge with a smile
34,You are unstoppable and unbeatable 
35,You go girl
36,"Babe, you are amazing"
37,I believe in your abilities
38,You deserve good things in life
39,Treat yo self
40,You have an abundance of energy
41,Today is your day
42,You shall bring a change in your life today
43,"You are strong, more than you know it"
44,You are a magnet for ideas
45,The sunrise will fill you with confidence
46,"Challenges will come your way, but you will overcome them"
47,"Just keep swimming, just keep swimming"
48,"You will be a better person today, tomorrow, everyday"
49,"No matter what, everything is an opportunity to learn and grow"
50,Today is full of possibilities
51,"Success is yours, you just need to envision it"
52,Aren't you grateful that you still got tomorrow?
53,Rejoice in what you have learnt today
54,"You did your best, and that means something"
55,You are too big of a gift to the world to waste your time on self pity and sadness
56,Feel the love of thsoe who are not physically around you
57,BREATHE
58,"Inhale the good, exhale the bad"
59,Trust yourself
60,You're sexy and you know it
61,Tonight's gonna be a good good night
62,"You might only have one match, but can make a explosion"
63,"What doesn't kill you, makes you stronger"
64,"Tonight, we are young"
65,Your momma would be proud of you
66,Sing along!..You just gotta ignite the light and let it shine.
67,Kill 'em with the kindness
68,"Sing slong!.. I'm the champion, you're gonna hear me roar"
69,"I'll be there for you, when the rain starts to pour."
70,"Yesterday is just a memory, tomorrow is never what it's supposed to be"
71,"In the end, it doesn't even matter"
72,You are a unique child to this world
73,You are matter and what you have to offer this world also matters
74,Trust your inner wisdom and intuition
75,Wonderful things will unfold before you
76,Forgive yourself 
77,Good things come to those who believe it can happen
78,There's always a silver lining to the cloud
79,"Repeat after me, I refuse to give up because I can do more than this"
80,You're better person than the hardship you've gone thru
81,You're the boss. You get to make the final calls
82,"Let's set the world on fire, you can go brighter than the sun!"
83,"Ultimately, happiness is what that matters"
84,This day shall bring you nothing but joy
85,Follow your dreams no matter what
86,Be happy in your own skin
87,"Do what you love, love what you do"
88,It's nice to be important but it's more important to be nice
89,"Giving up is the easier way, delay it for some other day"
90,The past has no power over you any more
91,"All that you need comes to you in the right time, right place in this world"
92,"You radiate love and happiness, and it shall come back to you"
93,You have an attitude for grattitude
94,Do you remember yourself few months ago? Look at you now
95,There's no problem so big that cannot be solved 
96,"Who run the world, GIRLS!"
97,"Uh-hun, Tell me how can I help you? Do you want me to hit up somebody from your contacts"
98,Life is tough darling but so are you
99,"Whatever, you're still fabulous"
100,"I got your back! I think I should tell the world, watch the queen conquer"
101,Don't let anyone dull your sparkle
102,"Girl, you're a badass"
